Destination plate name,Row,Column,Well ID,Plate source,Well Source,Strain,Media Definition
Control strain plate,A,1,Empty,Empty,Empty,Empty,None
Control strain plate,A,2,Empty,Empty,Empty,Empty,None
Control strain plate,A,3,Empty,Empty,Empty,Empty,None
Control strain plate,A,4,Empty,Empty,Empty,Empty,None
Control strain plate,A,5,Empty,Empty,Empty,Empty,None
Control strain plate,A,6,Empty,Empty,Empty,Empty,None
Control strain plate,A,7,Empty,Empty,Empty,Empty,None
Control strain plate,A,8,Empty,Empty,Empty,Empty,None
Control strain plate,A,9,Empty,Empty,Empty,Empty,None
Control strain plate,A,10,Empty,Empty,Empty,Empty,None
Control strain plate,A,11,Empty,Empty,Empty,Empty,None
Control strain plate,A,12,Empty,Empty,Empty,Empty,None
Control strain plate,B,1,Empty,Empty,Empty,Empty,None
Control strain plate,B,2,Sample,USDA,,Lab strain,YP
Control strain plate,B,3,Sample,USDA,,Wild strain,YP
Control strain plate,B,4,Sample,Internal source,,Industrial strain,YP
Control strain plate,B,5,Sample,ATCC,,Engineered strain,YP
Control strain plate,B,6,Empty,Empty,Empty,Empty,None
Control strain plate,B,7,Sample,USDA,,Lab strain,AFEX
Control strain plate,B,8,Sample,USDA,,Wild strain,AFEX
Control strain plate,B,9,Sample,Internal source,,Industrial strain,AFEX
Control strain plate,B,10,Sample,ATCC,,Engineered strain,AFEX
Control strain plate,B,11,Empty,Empty,Empty,Empty,None
Control strain plate,B,12,Empty,Empty,Empty,Empty,None
Control strain plate,C,1,Empty,Empty,Empty,Empty,None
Control strain plate,C,2,Sample,USDA,,Lab strain,YP+0.25% glucose
Control strain plate,C,3,Sample,USDA,,Wild strain,YP+0.25% glucose
Control strain plate,C,4,Sample,Internal source,,Industrial strain,YP+0.25% glucose
Control strain plate,C,5,Sample,ATCC,,Engineered strain,YP+0.25% glucose
Control strain plate,C,6,Empty,Empty,Empty,Empty,Empty
Control strain plate,C,7,Sample,USDA,,Lab strain,AFEX+0.25% glucose
Control strain plate,C,8,Sample,USDA,,Wild strain,AFEX+0.25% glucose
Control strain plate,C,9,Sample,Internal source,,Industrial strain,AFEX+0.25% glucose
Control strain plate,C,10,Sample,ATCC,,Engineered strain,AFEX+0.25% glucose
Control strain plate,C,11,Empty,Empty,Empty,Empty,None
Control strain plate,C,12,Empty,Empty,Empty,Empty,None
Control strain plate,D,1,Empty,Empty,Empty,Empty,None
Control strain plate,D,2,Sample,USDA,,Lab strain,YP+0.5% glucose
Control strain plate,D,3,Sample,USDA,,Wild strain,YP+0.5% glucose
Control strain plate,D,4,Sample,Internal source,,Industrial strain,YP+0.5% glucose
Control strain plate,D,5,Sample,ATCC,,Engineered strain,YP+0.5% glucose
Control strain plate,D,6,Empty,Empty,Empty,Empty,Empty
Control strain plate,D,7,Sample,USDA,,Lab strain,AFEX+0.5% glucose
Control strain plate,D,8,Sample,USDA,,Wild strain,AFEX+0.5% glucose
Control strain plate,D,9,Sample,Internal source,,Industrial strain,AFEX+0.5% glucose
Control strain plate,D,10,Sample,ATCC,,Engineered strain,AFEX+0.5% glucose
Control strain plate,D,11,Empty,Empty,Empty,Empty,None
Control strain plate,D,12,Empty,Empty,Empty,Empty,None
Control strain plate,E,1,Empty,Empty,Empty,Empty,None
Control strain plate,E,2,Sample,USDA,,Lab strain,YP+1% glucose
Control strain plate,E,3,Sample,USDA,,Wild strain,YP+1% glucose
Control strain plate,E,4,Sample,Internal source,,Industrial strain,YP+1% glucose
Control strain plate,E,5,Sample,ATCC,,Engineered strain,YP+1% glucose
Control strain plate,E,6,Empty,Empty,Empty,Empty,Empty
Control strain plate,E,7,Sample,USDA,,Lab strain,AFEX+1% glucose
Control strain plate,E,8,Sample,USDA,,Wild strain,AFEX+1% glucose
Control strain plate,E,9,Sample,Internal source,,Industrial strain,AFEX+1% glucose
Control strain plate,E,10,Sample,ATCC,,Engineered strain,AFEX+1% glucose
Control strain plate,E,11,Empty,Empty,Empty,Empty,None
