"row"	"plate"	"well"	"media"	"strain"	"model"	"lag.time, hrs"	"lag.time.SE, hrs"	"inflection.time, hrs"	"max.spec.growth.rate, log.OD/hr"	"max.spec.growth.rate.SE, log.OD/hr"	"baseline, log.OD"	"baseline.SE, log.OD"	"amplitude, log.OD"	"amplitude.SE, log.OD"	"plateau, log.OD"	"inoc.log.OD"	"max.log.OD"	"projected.growth, log.OD"	"achieved.growth, log.OD"	"baseline.OD"	"amplitude.OD"	"plateau.OD"	"inoc.OD"	"max.OD"	"projected.growth.OD"	"achieved.growth.OD"	"shape.par"	"shape.par.SE"	"R.squared"	"RSS"	"empty"	"asymp.not.reached"	"tank"	"other"	"pdf.file"	"page.no"	"Destination.plate.name"	"Well.ID"	"Plate.source"	"Well.Source"	"Media.Definition"
1	"YPDAFEXglucoseTests_2-25-10"	"A01"	"None"	"Empty"	"<NA>: skipped"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"E "	"-"	"-"	""	"YPDAFEXglucoseTests_2-25-10_plots_2015-04-07_15.34.27.pdf"	2	"Control strain plate"	"Empty"	"Empty"	"Empty"	"None"
2	"YPDAFEXglucoseTests_2-25-10"	"B01"	"None"	"Empty"	"<NA>: skipped"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"E "	"-"	"-"	""	"YPDAFEXglucoseTests_2-25-10_plots_2015-04-07_15.34.27.pdf"	3	"Control strain plate"	"Empty"	"Empty"	"Empty"	"None"
3	"YPDAFEXglucoseTests_2-25-10"	"C01"	"None"	"Empty"	"<NA>: skipped"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"E "	"-"	"-"	""	"YPDAFEXglucoseTests_2-25-10_plots_2015-04-07_15.34.27.pdf"	4	"Control strain plate"	"Empty"	"Empty"	"Empty"	"None"
4	"YPDAFEXglucoseTests_2-25-10"	"D01"	"None"	"Empty"	"<NA>: skipped"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"E "	"-"	"-"	""	"YPDAFEXglucoseTests_2-25-10_plots_2015-04-07_15.34.27.pdf"	5	"Control strain plate"	"Empty"	"Empty"	"Empty"	"None"
5	"YPDAFEXglucoseTests_2-25-10"	"E01"	"None"	"Empty"	"<NA>: skipped"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"E "	"-"	"-"	""	"YPDAFEXglucoseTests_2-25-10_plots_2015-04-07_15.34.27.pdf"	6	"Control strain plate"	"Empty"	"Empty"	"Empty"	"None"
6	"YPDAFEXglucoseTests_2-25-10"	"F01"	"None"	"Empty"	"<NA>: skipped"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"E "	"-"	"-"	""	"YPDAFEXglucoseTests_2-25-10_plots_2015-04-07_15.34.27.pdf"	7	"Control strain plate"	"Empty"	"Empty"	"Empty"	"None"
7	"YPDAFEXglucoseTests_2-25-10"	"G01"	"None"	"Empty"	"<NA>: skipped"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"E "	"-"	"-"	""	"YPDAFEXglucoseTests_2-25-10_plots_2015-04-07_15.34.27.pdf"	8	"Control strain plate"	"Empty"	"Empty"	"Empty"	"None"
8	"YPDAFEXglucoseTests_2-25-10"	"H01"	"None"	"Empty"	"<NA>: skipped"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"E "	"-"	"-"	""	"YPDAFEXglucoseTests_2-25-10_plots_2015-04-07_15.34.27.pdf"	9	"Control strain plate"	"Empty"	"Empty"	"Empty"	"None"
9	"YPDAFEXglucoseTests_2-25-10"	"A02"	"None"	"Empty"	"<NA>: skipped"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"E "	"-"	"-"	""	"YPDAFEXglucoseTests_2-25-10_plots_2015-04-07_15.34.27.pdf"	10	"Control strain plate"	"Empty"	"Empty"	"Empty"	"None"
10	"YPDAFEXglucoseTests_2-25-10"	"B02"	"YP"	"Lab strain"	"gompertz sigmoid"	0	1.75346931682115	9.008895	0.00387129154161333	0.000169526575673485	0.106012627582768	0.00533332981254499	0.0949774510885174	0.0112054786798504	0.200990078671286	0.112280003029694	0.184252861643961	0.0887100756415918	0.0719728586142672	0.111835916217944	0.0996340592954781	0.222612641821245	0.118826091485523	0.202319805224487	0.103786550335722	0.0834937137389644	NA	NA	0.955970181896242	0.00271004795972447	"I "	"U"	"-"	""	"YPDAFEXglucoseTests_2-25-10_plots_2015-04-07_15.34.27.pdf"	11	"Control strain plate"	"Sample"	"USDA"	""	"YP"
11	"YPDAFEXglucoseTests_2-25-10"	"C02"	"YP+0.25% glucose"	"Lab strain"	"richards sigmoid"	2.40987768343735	0.0533048366613944	4.21845083333333	0.0460029603516824	0.000724536080633502	0.0730406465985917	0.00147448206809288	0.20195449827016	0.00148223339842928	0.274995144868751	0.073266311037202	0.274994924460913	0.201728833831549	0.201728613423711	0.0757742625906743	0.22379232217684	0.316524282953919	0.0760170539793741	0.31652399278168	0.240507228974545	0.240506938802306	0.265875936579388	0.100708043886741	0.997917404710374	0.00135388203716233	"I "	"-"	"-"	""	"YPDAFEXglucoseTests_2-25-10_plots_2015-04-07_15.34.27.pdf"	12	"Control strain plate"	"Sample"	"USDA"	""	"YP+0.25% glucose"
12	"YPDAFEXglucoseTests_2-25-10"	"D02"	"YP+0.5% glucose"	"Lab strain"	"logistic sigmoid."	3.07823403673893	0.0432348209213164	5.3624375	0.0732442091237218	0.00083385044900585	0.0859165104025432	0.00136428289761777	0.336085729465356	0.00149532007847134	0.4220022398679	0.0889960026247708	0.422002205393214	0.333006237243129	0.333006202768443	0.0897153446116215	0.399458994539777	0.525011940504746	0.0930762868815243	0.52501188793044	0.431935653623222	0.431935601048915	NA	NA	0.99892015420286	0.00211931922664724	"I "	"-"	"-"	""	"YPDAFEXglucoseTests_2-25-10_plots_2015-04-07_15.34.27.pdf"	13	"Control strain plate"	"Sample"	"USDA"	""	"YP+0.5% glucose"
13	"YPDAFEXglucoseTests_2-25-10"	"E02"	"YP+1% glucose"	"Lab strain"	"richards sigmoid"	3.31104934964427	0.0428738829656516	6.24426055555555	0.087498859778052	0.000646229427574331	0.0670789160536515	0.00264084512090784	0.496808437832399	0.00261152544308038	0.56388735388605	0.0759549213884333	0.563886450845895	0.487932432497617	0.487931529457461	0.0693798660836618	0.643467662335959	0.757491228661656	0.0789139371187617	0.75748964157722	0.678577291542894	0.678575704458458	1.22323321021831	0.0913419736269564	0.999523017751576	0.00210815425649153	"I "	"-"	"-"	""	"YPDAFEXglucoseTests_2-25-10_plots_2015-04-07_15.34.27.pdf"	14	"Control strain plate"	"Sample"	"USDA"	""	"YP+1% glucose"
