Well positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
Blank,0.0623,0.0626,0.0596,0.0602,0.061,0.0598,0.0604,0.0623,0.062,0.0648,0.0601,0.0602,0.0583,0.093,0.0934,0.0929,0.0927,0.093,0.2159,0.2214,0.2249,0.224,0.223,0.0617,0.0604,0.0921,0.0926,0.0943,0.0937,0.094,0.2207,0.22,0.2199,0.2191,0.2133,0.0623,0.0569,0.0932,0.0965,0.0943,0.094,0.0971,0.2214,0.2256,0.2236,0.2196,0.2163,0.0589,0.0583,0.0927,0.0924,0.0941,0.0935,0.0929,0.2204,0.2211,0.2209,0.2197,0.2142,0.0606,0.0601,0.0921,0.0919,0.0958,0.0925,0.0933,0.2211,0.2246,0.2202,0.22,0.212,0.0588,0.0575,0.0923,0.0923,0.0942,0.0973,0.0921,0.2217,0.2218,0.221,0.2195,0.2198,0.059,0.0586,0.058,0.0577,0.0576,0.0581,0.0585,0.0582,0.0582,0.0585,0.0577,0.0577,0.0572
0s,0.0631,0.0633,0.0607,0.0613,0.0623,0.0612,0.0617,0.0636,0.063,0.0657,0.0607,0.0612,0.0592,0.2053,0.2676,0.2104,0.1872,0.0926,0.2631,0.3007,0.2867,0.2736,0.2197,0.0622,0.0606,0.1578,0.1811,0.1762,0.156,0.0939,0.2681,0.2907,0.2769,0.2603,0.212,0.0634,0.0581,0.1686,0.1948,0.1673,0.1432,0.0963,0.26,0.2915,0.2799,0.2631,0.2127,0.061,0.0585,0.1601,0.1703,0.1704,0.162,0.0919,0.2608,0.2906,0.2729,0.26,0.213,0.0617,0.0608,0.1734,0.1982,0.1829,0.1778,0.0927,0.2591,0.2884,0.2715,0.2627,0.2106,0.0591,0.0581,0.1656,0.2065,0.1829,0.1707,0.0913,0.2637,0.2925,0.2752,0.2741,0.2186,0.06,0.0593,0.0585,0.0587,0.0584,0.0589,0.0595,0.0592,0.0592,0.0596,0.0586,0.0584,0.0577
640s,0.0642,0.0645,0.0612,0.0616,0.0624,0.0613,0.063,0.0639,0.0632,0.0659,0.0608,0.0616,0.059,0.2046,0.2813,0.2226,0.1947,0.0927,0.2767,0.3375,0.3023,0.2892,0.2194,0.0627,0.0604,0.1712,0.2078,0.1926,0.1708,0.0938,0.2808,0.3185,0.2881,0.2706,0.2117,0.0636,0.0579,0.1824,0.224,0.1858,0.1559,0.0961,0.2702,0.319,0.2898,0.2711,0.2128,0.0592,0.0587,0.1709,0.2068,0.1943,0.1793,0.0917,0.2713,0.3203,0.2858,0.2682,0.2129,0.0613,0.0608,0.1832,0.2254,0.1973,0.1904,0.0927,0.2671,0.3156,0.2802,0.2709,0.2104,0.0593,0.0588,0.178,0.2312,0.1937,0.184,0.0915,0.2695,0.3126,0.2787,0.2706,0.2183,0.06,0.0594,0.0587,0.0591,0.0586,0.0591,0.0597,0.0591,0.0593,0.0598,0.0589,0.0585,0.0573
1280s,0.0641,0.0635,0.0612,0.0616,0.0624,0.0613,0.0619,0.0638,0.0631,0.0659,0.0613,0.0617,0.0592,0.2043,0.2854,0.2256,0.1985,0.0925,0.283,0.3447,0.3134,0.3022,0.2194,0.0594,0.0602,0.1707,0.2156,0.1999,0.1751,0.0938,0.2866,0.3256,0.2996,0.2818,0.2119,0.0637,0.0579,0.1862,0.2311,0.1961,0.1602,0.0959,0.2767,0.3247,0.3,0.2817,0.2126,0.0602,0.0586,0.1735,0.2129,0.2028,0.1844,0.092,0.2791,0.328,0.2994,0.2788,0.2129,0.0614,0.061,0.1866,0.2379,0.2086,0.1986,0.0927,0.2734,0.3239,0.2896,0.2806,0.2105,0.0592,0.0585,0.1842,0.2422,0.2047,0.1951,0.0915,0.274,0.3176,0.2859,0.277,0.2186,0.0602,0.0596,0.0589,0.0589,0.0586,0.0593,0.0599,0.0592,0.0594,0.0598,0.059,0.0585,0.0577
1921s,0.0646,0.0642,0.0613,0.062,0.0626,0.0614,0.0621,0.064,0.0634,0.0661,0.0615,0.0619,0.0592,0.2054,0.2872,0.2262,0.1994,0.0927,0.2846,0.3478,0.3224,0.3119,0.2197,0.0585,0.0599,0.1681,0.2164,0.2006,0.1736,0.0937,0.2875,0.3279,0.3066,0.2894,0.2118,0.0636,0.0579,0.1898,0.2348,0.1991,0.1629,0.096,0.2801,0.3264,0.3091,0.29,0.2125,0.0595,0.0588,0.1772,0.2149,0.2047,0.1855,0.0918,0.2822,0.3287,0.3075,0.2856,0.213,0.0615,0.0611,0.1875,0.2419,0.2129,0.2033,0.0925,0.2772,0.3252,0.2981,0.2885,0.2106,0.0591,0.0584,0.1874,0.2472,0.2141,0.1983,0.0914,0.2771,0.3178,0.2926,0.2837,0.2209,0.0602,0.0597,0.059,0.0593,0.0589,0.0594,0.06,0.0594,0.0594,0.0601,0.0589,0.0587,0.0575
2561s,0.0641,0.0637,0.0609,0.0616,0.0626,0.0612,0.0619,0.0639,0.0631,0.0657,0.0619,0.0618,0.0592,0.2061,0.2873,0.2247,0.1979,0.0925,0.2858,0.352,0.3305,0.3176,0.2197,0.0601,0.0597,0.1658,0.2185,0.2016,0.1748,0.0938,0.2888,0.331,0.3153,0.2951,0.212,0.0637,0.0581,0.1916,0.2381,0.1997,0.1644,0.0962,0.2818,0.3296,0.3175,0.2959,0.2127,0.0608,0.0581,0.1805,0.2172,0.2046,0.1876,0.0918,0.2846,0.3317,0.3173,0.2911,0.2131,0.0615,0.061,0.1868,0.2421,0.2198,0.2071,0.0926,0.2796,0.3284,0.3055,0.2955,0.2107,0.0593,0.0585,0.1914,0.2444,0.2191,0.2043,0.0915,0.2788,0.3184,0.2996,0.2917,0.2189,0.0603,0.06,0.0591,0.059,0.0588,0.0594,0.06,0.0595,0.0597,0.0601,0.0592,0.059,0.0573
3201s,0.064,0.0675,0.061,0.0619,0.0627,0.0613,0.0621,0.0639,0.0633,0.0659,0.0623,0.0619,0.0596,0.2072,0.2892,0.2249,0.1965,0.0927,0.2884,0.3553,0.3405,0.3248,0.2199,0.0593,0.0595,0.1664,0.2186,0.204,0.177,0.0937,0.2906,0.3346,0.3246,0.3015,0.2121,0.0638,0.0581,0.1925,0.2384,0.2003,0.17,0.0961,0.2845,0.3347,0.3269,0.302,0.2129,0.0615,0.0588,0.1821,0.2156,0.2047,0.1887,0.092,0.2871,0.3354,0.326,0.2962,0.2132,0.0616,0.0612,0.1884,0.2396,0.2267,0.2061,0.0926,0.2833,0.3328,0.3144,0.3026,0.2109,0.0595,0.0587,0.196,0.2392,0.2231,0.206,0.0914,0.2811,0.3215,0.3075,0.298,0.2191,0.0603,0.0601,0.0592,0.0593,0.0591,0.0596,0.0602,0.0597,0.0598,0.0603,0.0594,0.0593,0.0572
3841s,0.0646,0.0719,0.0613,0.0619,0.0627,0.0614,0.0621,0.064,0.0634,0.0658,0.0624,0.0618,0.0592,0.2087,0.2903,0.224,0.1958,0.0925,0.2911,0.3565,0.3501,0.3288,0.2199,0.063,0.0595,0.1693,0.2208,0.2078,0.1793,0.0936,0.2935,0.3375,0.3339,0.3073,0.2121,0.0638,0.0579,0.1943,0.2387,0.2039,0.1718,0.096,0.2888,0.3394,0.3367,0.3075,0.2129,0.0623,0.059,0.1838,0.2143,0.2092,0.1895,0.0918,0.2908,0.3383,0.3356,0.3026,0.2135,0.0617,0.0611,0.1893,0.2368,0.2226,0.1997,0.0925,0.2855,0.3365,0.3227,0.3084,0.2108,0.061,0.0589,0.1997,0.238,0.2296,0.2076,0.0915,0.2845,0.3249,0.3157,0.3037,0.2192,0.0607,0.0602,0.0591,0.0595,0.0591,0.0596,0.0602,0.0596,0.0597,0.0604,0.0595,0.0594,0.0574
4482s,0.0645,0.0652,0.0614,0.0623,0.0628,0.0617,0.0624,0.0639,0.0637,0.0657,0.0626,0.0621,0.0595,0.2104,0.2921,0.2249,0.1959,0.0925,0.2937,0.3564,0.3536,0.3303,0.2202,0.0674,0.0625,0.1722,0.2233,0.2134,0.1827,0.0939,0.2966,0.3392,0.3402,0.3089,0.2123,0.0639,0.0584,0.197,0.2382,0.2094,0.1755,0.0959,0.2913,0.3407,0.3438,0.311,0.213,0.0632,0.0585,0.1848,0.2155,0.2138,0.1901,0.0917,0.2939,0.3396,0.3424,0.3069,0.2135,0.0616,0.0614,0.1909,0.2352,0.2293,0.207,0.0926,0.2893,0.3387,0.3313,0.3134,0.211,0.0599,0.0591,0.2022,0.2387,0.2344,0.2078,0.0914,0.2878,0.3274,0.3231,0.3095,0.2194,0.0609,0.0609,0.0593,0.0596,0.0591,0.0597,0.0603,0.06,0.0602,0.0604,0.0597,0.0597,0.0581
5122s,0.0642,0.0647,0.0613,0.062,0.0628,0.0615,0.0624,0.064,0.0635,0.0657,0.0627,0.0619,0.0596,0.2111,0.2933,0.2267,0.1965,0.0926,0.2977,0.3589,0.356,0.3284,0.2202,0.0633,0.0603,0.1741,0.2251,0.2186,0.1866,0.0937,0.3002,0.3402,0.3474,0.309,0.2124,0.0643,0.0582,0.1994,0.2393,0.2152,0.178,0.096,0.2951,0.3427,0.349,0.313,0.2131,0.0631,0.058,0.1875,0.2173,0.2188,0.1939,0.0918,0.2975,0.3412,0.347,0.3099,0.2136,0.0617,0.0613,0.1907,0.2369,0.2376,0.2155,0.0926,0.2929,0.3401,0.3376,0.3146,0.2111,0.0596,0.0592,0.2025,0.2358,0.2361,0.2144,0.0912,0.2906,0.3294,0.3304,0.3131,0.2195,0.0608,0.0609,0.0596,0.0598,0.0595,0.0599,0.0605,0.0601,0.0602,0.0606,0.0597,0.0597,0.0593
